video_id,comment_count,sentiment_mean,sentiment_median,sentiment_std,positive_ratio,negative_ratio,rating,revenue,success
tT6hjeRpJq8,28,-0.1748,0.0,0.43638411129713767,0.14285714285714285,0.42857142857142855,5.1,20.75,0
tc-TXxekXWo,15,0.09728,0.0,0.36641900917626297,0.26666666666666666,0.2,8.5,448.13,1
tcUv3sovabs,11,0.0568909090909091,0.0,0.4436051227263848,0.2727272727272727,0.2727272727272727,6.1,47.95,0
tdPeGnhP_Vg,100,0.26417999999999997,0.39859999999999995,0.46632676582548044,0.63,0.16,6.2,325.02,0
u3x7tgjnzuM,4,0.210375,0.07655,0.3267535296927436,0.5,0.0,5.7,2.2,0
uAzbBCxVFHc,4,0.157925,0.0,0.4056956443361616,0.25,0.25,6.0,46.01,0
uSAnvPeFL2E,1,0.0,0.0,,0.0,0.0,7.1,40.07,0
uWoqWMXJ7KE,8,0.222525,0.0,0.32574797773739134,0.375,0.0,7.3,57.64,0
uh8ARTXu4Bo,11,-0.05304545454545455,0.0,0.4905987043677069,0.36363636363636365,0.36363636363636365,5.9,62.4,0
um6UX2Tp1JQ,24,0.014212499999999996,0.0,0.41808685732959733,0.3333333333333333,0.2916666666666667,6.7,330.25,0
un23bvxb92Y,3,0.4367666666666667,0.4019,0.1610559012682657,1.0,0.0,6.8,13.96,0
w1bXfhL1XFY,10,0.029599999999999998,0.0,0.09360341874098403,0.1,0.0,7.1,15.43,0
w5skn-tZTTc,21,-0.007547619047619055,0.0,0.48877754307972004,0.3333333333333333,0.38095238095238093,7.2,61.28,0
wBgxByOk8Xc,100,0.151283,0.0,0.40886107147622514,0.44,0.19,5.9,54.65,0
wVAQKY-5ULk,15,0.20074,0.0,0.3652333320729953,0.4,0.13333333333333333,7.2,256.39,1
wd7dMFDgx4c,1,0.0,0.0,,0.0,0.0,6.2,3.59,0
xzQsTbBbKNA,2,0.50965,0.50965,0.611576655048245,1.0,0.0,6.7,3.71,0
yBspfCiptSQ,11,0.2920909090909091,0.3182,0.40498437366038076,0.6363636363636364,0.09090909090909091,6.7,7.22,0
yKkg8wj_jYo,4,0.40485000000000004,0.48030000000000006,0.2989699817707457,0.75,0.0,6.6,13.65,0
zVXtH6EwLT0,58,0.25718620689655175,0.3286,0.3641828784130572,0.5344827586206896,0.1206896551724138,7.6,232.6,1
zWPp7zGG-Bo,32,0.29746875,0.3397,0.503172716090352,0.5625,0.125,7.5,364.0,1
